year,title,url
2020,Language Models are Few-Shot Learners (GPT-3),MISSING
2021,Latent Execution for Neural Program Synthesis (LaSynth),https://proceedings.neurips.cc/paper/2021/file/ba3c95c2962d3aab2f6e667932daa3c5-Paper.pdf
2023,LeaF: Learning Frames for 4D Point Cloud Sequence Understanding,https://openaccess.thecvf.com/content/ICCV2023/papers/Liu_LeaF_Learning_Frames_for_4D_Point_Cloud_Sequence_Understanding_ICCV_2023_paper.pdf
2018,Learning Explanatory Rules from Noisy Data / Differentiable ILP (dILP),https://jair.org/index.php/jair/article/view/11172/26376
2025,Learning Modular Exponentiation with Transformers,https://arxiv.org/html/2506.23679v1
1986,Learning Representations by Back-Propagating Errors,https://www.nature.com/articles/323533a0
2012,Learning Semantic String Transformations from Examples,https://vldb.org/pvldb/vol5/p740_rishabhsingh_vldb2012.pdf
2012,Learning Semantic String Transformations from Examples,MISSING
1988,Learning to Predict by the Methods of Temporal Differences,https://incompleteideas.net/papers/sutton-88-with-erratum.pdf
2003,Least-Squares Policy Iteration (LSPI),https://www.jmlr.org/papers/v4/lagoudakis03a.html
2024,Length Extrapolation of Causal Transformers without Position Encoding (NoPE),"https://aclanthology.org/2024.findings-acl.834.pdf ""NoPE (2024) — ACL Anthology"""
2024,Length Extrapolation of Transformers: A Survey from the Perspective of Positional Encoding,"https://aclanthology.org/2024.findings-emnlp.582.pdf ""Length Extrapolation Survey (2024) — ACL Anthology"""
2025,Less is More: Recursive Reasoning with Tiny Networks (TRM),https://ar5iv.org/abs/2510.04871
2025,Less is More: Recursive Reasoning with Tiny Networks (TRM),https://arcprize.org/blog/arc-prize-2025-results-analysis
